ID,sq,sr,en
104,Sa mendoni se jeni informuar nga institucionet publike për punën e tyre në fushën tuaj të veprimit gjatë vitit 2017? ,Koliko mislite da ste obavešteni od strane javnih institucija o njihovom  radu u vašoj oblasti delovanja u toku 2017 godine? ,How much have you been informed by public institutions of their work on your scope of activity during 2017?
105,A keni kërkuar qasje në informata publike/zyrtare gjatë vitit 2017?,Da li ste tražili uvid u javne informacije /zvanične u toku 2017 godine?,Have you ever asked for access to public/official information during 2017? 
106,"Nëse po, kur keni kërkuar qasje në informata publike/zyrtare: ","Ako jeste , kada ste tražili pristup javnim /službenim informacijama: ","If yes, when did you ask for access to public/official information: "
108,"A është angazhuar organizata e juaj në hartimin e ndonjë politike publike, ligji apo rregulloreje komunale (përfshirë angazhimin me ftesë nga institucionet publike dhe me vetiniciativë) gjatë vitit 2017?","Da li je angažovana vaša organizacija u izradi bilo koje javne politike, zakona ili opštinskog propisa (uključujući angažovanje na poziv javnih institucija i na sopstvenu inicijativu) u toku 2017 godine?","Has your organization got engaged in the drafting process for a public policy, law or municipal regulation (including engagement upon invitation by public institutions and with self-initiative) during 2017?"
111,"Çfarë ndikimi mendoni se ka shoqëria civile në përgjithësi, në hartimin e politikave publike ose ligjeve? ",Kakav uticaj mislite da ima civilno društvo u celini u izradi javnih politika ili zakona?,What impact does the civil society in general has on drafting of public policies or laws?
112,"Gjatë vitit të fundit, a është ftuar organizata juaj në ndonjë konsultim publik nga autoritetet publike (takim konsultativ, konsultim me shkrim, tryezë diskutimi, etj.)? ","Tokom prošle godine, da li je vaša organizacija pozvana na neku javnu konsultaciju od strane državnih organa (konsultativni sastanak, pismene konsultacije, okrugli sto za diskusiju, itd)? ","During 2017, has your organization been invited in a public consultation by public authorities (consulting meeting, consulting in written, round table discussion, etc)?"
113,"Nëse po, rrethoni të gjitha pohimet e mëposhtme me të cilat pajtoheni:","Ako je tako, zaokružite sve donje izjave  sa kojima  se slažete: ","If yes, circle all the affirmations you agree with below:"
114,"Në përgjithësi, komentet tuaja janë:","Ukoliko da, uopšteno vaši komentari su:","If yes, in general your comments are:"
119,Cili ka qenë ndikimi i shoqërisë civile në përgjithësi në Kosovë në fushat e mëposhtme gjatë vitit 2017? ,Kakav je bio uticaj civilnog društva u celini na Kosovu u sledećim oblastima tokom 2017. godine? ,What was the impact of civil society in general in Kosovo concerning the fields below in 2017?
120,Në cilën fushë mendoni se ka pasur organizata juaj më së tepërmi ndikim gjatë vitit 2017? ,U kojoj oblasti mislite da je vaša organizacija imala najviše uticaja u toku 2017 godine?,In which field you do believe your organization had its highest impact in 2017?
121,Si e vlerësoni ndikimin e organizatës suaj në këtë fushë? ,Kako ocenjujete uticaj vaše organizacije u ovoj oblasti?,What is your estimation regarding the impact of your organization on this field? 
124,"Sipas mendimit tuaj, ambienti i përgjithshëm shoqëror, politik dhe ekonomik në Kosovë: ","Po vašem mišljenju, opšta društvena, politička i ekonomska sredina na Kosovu : ","What is your estimation regarding the general social, politic and economic environment in Kosovo: "
126,"Sipas mendimit tuaj, çfarë imazhi ka  shoqëria civile tek publiku i gjerë në Kosovë? ","Po vašem mišljenju, kakva je  slika civilnog društva u širom javnostu na Kosovu? (zaokružite samo jedan odgovor) ","In your opinion, what is the civil society image in the general public of Kosovo? "
