ID,sr,sq,en
81.1.,"Da, bez dodatnih procedura i obaveza / odobrenja u odnosu na domaće fondove","Po, pa procedura shtesë të obligimeve/aprovimit në krahasim me fondet vendore","Yes, without additional procedures of obligations/approval compared to local funds"
81.2.,"Da, sa manjim procedurama i obavezama / odobrenje u odnosu na domaće fondove","Po, me më pak procedura të obligimeve/aprovimit në krahasim me fondet vendore","Yes, with less procedures of obligations/approval compared to local funds"
81.3.,"Da, ali sa dodatnim procesnim obavezama / odobrenja u odnosu na lokalna sredstva","Po, mirëpo me procedura shtesë të obligimeve/aprovimit në krahasim me fondet vendore","Yes, but with additional procedures of obligations/approval compared to local funds"
81.4.,"Ne, niste primali sredstva iz inostranstva, jer dodatne procesne obaveze / odobravanja su bila komplikovani","Jo, nuk keni marrë fonde nga jashtë sepse procedurat shtesë të obligimeve/aprovimit kanë qenë të komplikuara","No, we have not taken funds from abroad because additional procedures of obligations/approvals were complicated"
81.5.,Ne nismo dobili strana sredstva,"Jo, nuk keni marrë fonde të huaja","No, we have not received foreign funds"
81.6.,Ostalo,Tjetër,Other
82.1.,"Da, i bilo ih je veoma lako dobiti bez dodatnih troškova ili administrativnih procedura za organizaciju","Po, dhe kanë qenë shumë të lehta për t’u marrë, pa shpenzime apo procedura administrative shtesë për organizatën","Yes, and they were very easy to get, without additional expenses or administrative procedure for the organization"
82.2.,"Da, ali sa mnogo troškova i administrativnih procedura nepotrebnih za organizaciju","Po, por me shpenzime dhe procedura të shumta administrative të panevojshme për organizatën","Yes, but with expenses and numerous administrative procedures unnecessary for organization"
82.3.,"Ne, jer bi primanja rezultirala sa mnogim nepotrebnim troškovima i administrativnim procedurama za organizaciju","Jo, sepse pranimi do të rezultonte në shpenzime dhe procedura të shumta administrative të panevojshme për organizatën","No, because their acceptance would result in expenses and numerous administrative procedures unnecessary for organization"
82.4.,"Ne, niste primili doprinose od privatnih, lokalnih donatora","Jo, nuk keni pranuar kontribute nga donatorët privat vendorë","No, we have not received contributions from local private donors"
82.5.,Ostalo,"Tjetër,","Other,"
84.1.,Da,Po,Yes
84.2.,"Ne, jer nismo podneli zahtev","Jo, sepse nuk kemi aplikuar","No, because we have not applied"
84.3.,"Ne, iako smo podneli zahtev","Jo, edhepse kemi aplikuar","No, although we have applied"
88.1.,Da,Po,Yes
88.2.,Ne,Jo,No
104.1.,Da,Po,Yes
104.2.,Ne,Jo,No
109.1.1.,"Prodaja usluga (gde korisnik / klijent plaća za uslugu, odnosno usluge istraživanja, usluge procene, obuke za poslovne planove / nacrte predloge, izdavanje kancelarija pod zakup , davanje opreme pod zakup itd)","Shitje të shërbimeve (ku përfituesi/klienti paguan për shërbimin, p.sh. shërbime hulumtimi, shërbime të vlerësimit, trajnime për biznes plane/projekt propozime, dhënien e zyrave me qera, dhënien e pajisjeve me qera, etj.)","Sale of services (where the beneficiary/client pays for services, e.g. Research services, evaluation services, training for business plans/project proposals, renting offices, provision of equipment by rent, etc.)"
109.1.3.,"Prodaja usluga (gde korisnik / klijent plaća za uslugu, odnosno usluge istraživanja, usluge procene, obuke za poslovne planove / nacrte predloge, izdavanje kancelarija pod zakup , davanje opreme pod zakup itd)","Shitje të shërbimeve (ku përfituesi/klienti paguan për shërbimin, p.sh. shërbime hulumtimi, shërbime të vlerësimit, trajnime për biznes plane/projekt propozime, dhënien e zyrave me qera, dhënien e pajisjeve me qera, etj.)","Sale of services (where the beneficiary/client pays for services, e.g. Research services, evaluation services, training for business plans/project proposals, renting offices, provision of equipment by rent, etc.)"
109.2.1.,Prodaja proizvoda koje proizvodi vaša organizacija,Shitje të produkteve që i prodhon organizata juaj,Sale of products your organization produces
109.3.1.,"Ne, naša organizacija ne obavlja neku privrednu aktivnost","Jo, organizata jonë nuk kryen asnjë aktivitet ekonomik","No, our organization does not carry any economic activity"
112.1.,Da,Po,Yes
112.2.,Ne,Jo,No
113.1.,Od donatora sa kojima redovno sarađujemo,Nga donatorët me të cilët bashkëpunojmë rregullisht,From donors we regularly cooperate with
113.2.,Od donatora sa kojima redovno sarađujemo i od onih sa kojima obično ne sarađujemo,Nga donatorët me të cilët bashkëpunojmë rregullisht dhe nga ata me të cilët zakonisht nuk kemi bashkëpunim,From donors we regularly cooperate with and from those we usually do not have cooperation with
113.3.,Od donatora sa kojima ne sarađujemo,Nga donatorët me të cilët nuk bashkëpunojmë,From donors we do not cooperate with
117.1.1.,Često,Shpesh,Frequently
117.1.2.,Retko,Rrallë,Rarely
117.1.3.,Nikada,Asnjëherë,Never
117.1.99.,Odbijam da odgovorim,Refuzoj të përgjigjem,Refuse to answer
117.2.1.,Često,Shpesh,Frequently
117.2.2.,Retko,Rrallë,Rarely
117.2.3.,Nikada,Asnjëherë,Never
117.2.99.,Odbijam da odgovorim,Refuzoj të përgjigjem,Refuse to answer
117.3.1.,Često,Shpesh,Frequently
117.3.2.,Retko,Rrallë,Rarely
117.3.3.,Nikada,Asnjëherë,Never
117.3.99.,Odbijam da odgovorim,Refuzoj të përgjigjem,Refuse to answer
117.4.1.,Često,Shpesh,Frequently
117.4.2.,Retko,Rrallë,Rarely
117.4.3.,Nikada,Asnjëherë,Never
117.4.99.,Odbijam da odgovorim,Refuzoj të përgjigjem,Refuse to answer
117.5.1.,Često,Shpesh,Frequently
117.5.2.,Retko,Rrallë,Rarely
117.5.3.,Nikada,Asnjëherë,Never
117.5.99.,Odbijam da odgovorim,Refuzoj të përgjigjem,Refuse to answer
117.6.1.,Često,Shpesh,Frequently
117.6.2.,Retko,Rrallë,Rarely
117.6.3.,Nikada,Asnjëherë,Never
117.6.99.,Odbijam da odgovorim,Refuzoj të përgjigjem,Refuse to answer
117.7.1.,Često,Shpesh,Frequently
117.7.2.,Retko,Rrallë,Rarely
117.7.3.,Nikada,Asnjëherë,Never
117.7.99.,Odbijam da odgovorim,Refuzoj të përgjigjem,Refuse to answer
117.8.1.,Često,Shpesh,Frequently
117.8.2.,Retko,Rrallë,Rarely
117.8.3.,Nikada,Asnjëherë,Never
117.8.99.,Odbijam da odgovorim,Refuzoj të përgjigjem,Refuse to answer
118.1.,Nikada,Asnjëherë,Never
118.2.,Retko,Rrallë,Rarely
118.3.,Često,Shpesh,Frequently
118.4.,Redovno,Rregullisht,Regularly
119.1.1.,"Da, često","Po, shpesh","Yes, often"
119.1.2.,"Da, ponekad","Po, nganjëherë","Yes, sometimes"
119.1.3.,"Ne, ne komuniciramo","Jo, nuk komunikojmë","No, never"
119.2.1.,"Da, često","Po, shpesh","Yes, often"
119.2.2.,"Da, ponekad","Po, nganjëherë","Yes, sometimes"
119.2.3.,"Ne, ne komuniciramo","Jo, nuk komunikojmë","No, never"
119.3.1.,"Da, često","Po, shpesh","Yes, often"
119.3.2.,"Da, ponekad","Po, nganjëherë","Yes, sometimes"
119.3.3.,"Ne, ne komuniciramo","Jo, nuk komunikojmë","No, never"
120.1.,Nimalo,Aspak,Not at all
120.2.,Malo,Pak,A little
120.3.,Dovoljno,Mjaftueshëm,Sufficiently
120.4.,Mnogo,Shumë,Extensively
120.88.,Ne znam,Nuk e di,I do not know
121.1.,Da,Po,Yes
121.2.,Ne,Jo,No
122.1.,Dobili su podatke / informacije u propisanom roku (7 dana),I keni marrë të dhënat/informatat brenda afatit të paraparë kohor (7 ditë),You received the data/information within the time limit prescribed (7 days)
122.2.,Dobili ste podatke / informacije sa zakašnjenjem,I keni marrë të dhënat/informatat me vonesë,You received data/information belatedly
122.3.,Vaš zahtev je odbijen sa obrazloženjem i mogućnošću žalbe,Kërkesa ju është refuzuar me arsyetim dhe mundësi për ankesë,Your request was denied with reasoning and possibility to complain
122.4.,Vaš zahtev je odbijen bez obrazloženja i mogućnosti za žalbu,Kërkesa ju është refuzuar pa arsyetim dhe mundësi për ankesë,Your request was denied without reasoning nor possibility to complain
122.5.,Niste dobili nikakav odgovor,Nuk keni marrë asnjë përgjigje,You received no answer
122.6.,Ostalo,Tjetër,Other
124.1.,Da,Po,Yes
124.2.,Ne,Jo,No
126.1.,Uopšte nema uticaja,Nuk ka fare ndikim,No impact at all
126.2.,Ima ograničen uticaj,Ka ndikim të kufizuar,Limited impact
126.3.,Ima umeren uticaj,Ka ndikim mesatar,Average impact
126.4.,Ima visok stepen uticaja,Ka nivel të lartë të ndikimit,High level impact
126.88.,Ne znam,Nuk e di,I do not know
127.1.,"Da, mi smo redovno pozivani kad god je bilo pitanja koja su u vezi sa našim radom","Po, jemi ftuar rregullisht, sa herë që ka pasur çështje që ndërlidhen me punën tonë","Yes, we have regularly been invited, whenever there was a related issue with our work"
127.2.,"Da, pozivani smo samo povremeno","Po, jemi ftuar vetëm kohë pas kohe","Yes, we have been invited from to time"
127.3.,"Da, ali smo pozivani veoma retko","Po, por jemi ftuar shumë rrallë","Yeas, but very rarely"
127.4.,"Ne, ne nikada nismo pozivani","Jo, nuk jemi ftuar asnjëherë","No, we have never been invited"
128.1.1.,"Konsultovali smo ss početne faze, na početku procesa izrade zakona / politike","Jemi konsultuar në fazë fillestare, në fillim të procesit të hartimit të legjislacionit/politikës",We were consulted at the initial stage of the process of drafting a legislation/policy
128.1.4.,"Konsultovali smo ss početne faze, na početku procesa izrade zakona / politike","Jemi konsultuar në fazë fillestare, në fillim të procesit të hartimit të legjislacionit/politikës",We were consulted at the initial stage of the process of drafting a legislation/policy
128.2.1.,Obezbedili smo dovoljno informacija o sadržaju dokumenata,Na janë ofruar informata të mjaftueshme në lidhje me përmbajtjen e dokumenteve,We were provided with sufficient information related to the content of documents
128.2.2.,Obezbedili smo dovoljno informacija o sadržaju dokumenata,Na janë ofruar informata të mjaftueshme në lidhje me përmbajtjen e dokumenteve,We were provided with sufficient information related to the content of documents
128.2.4.,Obezbedili smo dovoljno informacija o sadržaju dokumenata,Na janë ofruar informata të mjaftueshme në lidhje me përmbajtjen e dokumenteve,We were provided with sufficient information related to the content of documents
128.3.1.,Omogućeno nam je dovoljno vremena da odgovorimo (15-20 radnih dana),Na është lejuar mjaftueshëm kohë të përgjigjemi (15-20 ditë pune),We were given enough time to reply (15-20 working days)
128.3.2.,Omogućeno nam je dovoljno vremena da odgovorimo (15-20 radnih dana),Na është lejuar mjaftueshëm kohë të përgjigjemi (15-20 ditë pune),We were given enough time to reply (15-20 working days)
128.4.1.,Odgovorni državni službenici su bili obučeni i pružili su / dali su korisne informacije i savete tokom konsultacija,Shërbyesit përgjegjës civil kanë qenë të trajnuar dhe kanë ofruar/dhënë informata dhe këshilla të dobishme gjatë konsultimeve,Responsible civil servants were trained and offered useful information and advice throughout consultations
128.4.2.,Odgovorni državni službenici su bili obučeni i pružili su / dali su korisne informacije i savete tokom konsultacija,Shërbyesit përgjegjës civil kanë qenë të trajnuar dhe kanë ofruar/dhënë informata dhe këshilla të dobishme gjatë konsultimeve,Responsible civil servants were trained and offered useful information and advice throughout consultations
129.1.,Prihvačeni u potpunosti,Pranuar plotësisht,Fully accepted
129.2.,Delimično prihvaćeni,Pranuar pjesërisht,Partly accepted
129.3.,Nisu prihvačeni,Nuk janë pranuar,Not accepted
129.4.,Niste komentarisali zakonsku inicijativu politiku,Nuk keni komentuar në iniciativën ligjore/të politikës,Did not comment on the legal initiation/policy
129.88.,Ne znam,Nuk e di,Do Not Know
135.1.1.,Nema uopšte uticaja,Nuk ka fare ndikim,No impact
135.1.2.,Ograničeni uticaj,Ndikim i kufizuar,Limited impact
135.1.3.,Prosečan nivo uticaja,Nivel mesatar i ndikimit,Average impact
135.1.4.,Veliki uticaj,Ndikim i lartë,High impact
135.1.88.,Ne znam,Nuk e di,Do Not Know
135.2.1.,Nema uopšte uticaja,Nuk ka fare ndikim,No impact
135.2.2.,Ograničeni uticaj,Ndikim i kufizuar,Limited impact
135.2.3.,Prosečan nivo uticaja,Nivel mesatar i ndikimit,Average impact
135.2.4.,Veliki uticaj,Ndikim i lartë,High impact
135.2.88.,Ne znam,Nuk e di,Do Not Know
135.3.1.,Nema uopšte uticaja,Nuk ka fare ndikim,No impact
135.3.2.,Ograničeni uticaj,Ndikim i kufizuar,Limited impact
135.3.3.,Prosečan nivo uticaja,Nivel mesatar i ndikimit,Average impact
135.3.4.,Veliki uticaj,Ndikim i lartë,High impact
135.3.88.,Ne znam,Nuk e di,Do Not Know
136.1.1.,Ograničen uticaj,Ndikim i kufizuar,Limited impact
136.1.2.,Prosečan nivo uticaja,Nivel mesatar i ndikimit,Average impact
136.1.3.,Veliki uticaj,Ndikim i lartë,High impact
136.1.88.,Ne znam,Nuk e di,Do Not Know
138.1.,U potpunosti sprečava razvoj civilnog društva,E pengon plotësisht zhvillimin e shoqërisë civile,It fully prevents the development of civil society
138.2.,Sprečava delimično razvoj civilnog društva,E pengon pjesërisht zhvillimin e shoqërisë civile,It partly prevents the development of civil society
138.3.,Nema nikakav uticaj na razvoj civilnog društva,Nuk ndikon fare në zhvillimin e shoqërisë civile,It does not have any impact on the development of civil society
138.88.,Ne znam,Nuk e di,I do not know
138.4.,Pomaže djelimično razvoj civilnog društva,E ndihmon pjesërisht zhvillimin e shoqërisë civile,It partly assists the development of civil society
138.5.,Pomaže potpuno razvoj civilnog društva,E ndihmon plotësisht zhvillimin e shoqërisë civile,It fully assists the development of civil society
140.1.,Pozitivno,Pozitiv,Positive
140.2.,Donekale pozitivna/ donekle negativna,Deri diku pozitiv/deri diku negativ,To some extent positive/to some extent negative
140.3.,Negativna,Negativ,Negative
