ID,sr,sq,en
104,"Da li vaša organizacija pruža javne usluge kao što su socijalne usluge, obrazovanje, zdravstvena nega, smeštaj, kultura, itd?","A ofron organizata juaj shërbime publike siç janë shërbimet sociale, arsimimi, përkujdesja shëndetësore, strehimi, kultura, etj.?","Does your organization provide public services such as social services, education, health care, housing, culture, etc?"
109,Da li obavlja vaša organizacija neku od sledećih aktivnosti (neuključujući aktivnosti koje finansiraju donatori)?,A kryen organizata juaj ndonjërin prej aktiviteteve të mëposhtme (këtu NUK përfshihen aktivitetet të cilat financohen nga donatorët)?,Does your organization carry out either of the following activities (IT does not include activities which are financed by donors)?
112,Da li ste prihvatili poziv za konsultacije o programiranju sredstava nekog donatora datim toku 2015. godine?,A keni pranuar ftesë për t’u konsultuar rreth programimit të fondeve të ndonjë donatori të caktuar gjatë vitit 2015?,Have you received invitation to be consulted about programming any donor funds given during the year 2015?
113,"Ukoliko je odgovor da, koji donatori su vas pozvali na konsultacije o programskim sredstvima?","Nëse po, nga cilët donatorë jeni ftuar për konsultime rreth programit të fondeve?","If yes, who from donors were you invited for consultations about program funds?"
117,Koliko često vam se desilo da donatori zahtevaju:,Sa shpesh ju ka ndodhur që donatorët t’ju kërkojnë të:,How often has it happened that donors ask you to:
118,"Koliko često komunicirate (razmenjujete informacije, održavate sastanke, organizujete zajedničke aktivnosti) sa javnim institucijama koje posluju u istoj oblasti / području kao vašoj?","Sa shpesh komunikoni (shkëmbeni informata, mbani takime, organizoni aktivitete të përbashkëta) me institucionet publike të cilat veprojnë në fushën/fushat e njëjta me ju?","How often do you communicate (exchange information, hold meetings, organize joint activities) with public institutions which act within the similar filed/fields as you do?"
119,Da li vaša organizacija komunicira sa pojedinim institucijama za saradnju sa organizacijama civilnog društva?,A komunikon organizata juaj me institucionet e veçanta për bashkëpunim me organizatat e shoqërisë civile?,Does your organization communicate with specific institutions for cooperation with civil society organizations?
120,Koliko mislite da ste obavešteni od strane javnih institucija o njihovom radu u vašoj oblasti delovanja u toku 2015 godine?,Sa mendoni se jeni informuar nga institucionet publike për punën e tyre në fushën tuaj të veprimit gjatë vitit 2015?,How much have you been informed by public institutions of their work on your scope of activity during 2015?
121,Da li ste tražili uvid u javne informacije /zvanične u toku 2015 godine?,A keni kërkuar qasje në informata publike/zyrtare gjatë vitit 2015?,Have you ever asked for access to public/official information during 2015?
122,"Ako jeste , kada ste tražili pristup javnim /službenim informacijama:","Nëse po, kur keni kërkuar qasje në informata publike/zyrtare:","If yes, when did you ask for access to public/official information:"
124,"Da li je angažovana vaša organizacija u izradi i / ili usvajanju bilo koje javne politike, zakona ili opštinskog propisa (uključujući angažovanje na poziv javnih institucija i na sopstvenu inicijativu) u toku 2015 godine?","A është angazhuar organizata e juaj në hartimin dhe/apo miratimin e ndonjë politike publike, ligji apo rregulloreje komunale (përfshirë angazhimin me ftesë nga institucionet publike dhe me vetiniciativë) gjatë vitit 2015?","Has your organization got engaged in the compilation and/or adoption of a public policy, law or municipal regulation (including engagement upon invitation by public institutions and with self-initiative) during 2015?"
126,Kakav uticaj mislite da ima civilno društvo u celini u izradi javnih politika ili zakona?,Çfarë ndikimi mendoni se ka shoqëria civile në përgjithësi në hartimin e politikave publike ose ligjeve?,What impact does the civil society have in general on the compilation of public policies or laws?
127,"Tokom prošle godine, da li je vaša organizacija pozvana na neku javnu konsultaciju od strane državnih organa (konsultativni sastanak, pismene konsultacije, okrugli sto za diskusiju, itd)?","Gjatë vitit të fundit, a është ftuar organizata juaj në ndonjë konsultim publik nga autoritetet publike (takim konsultativ, konsultim me shkrim, tryezë diskutimi, etj.)?","During the last year, has your organization been invited in a public consultation by public authorities (consulting meeting, consulting in written, round table discussion, etc)?"
128,"Ako je tako, zaokružite sve donje izjave sa kojima se slažete:","Nëse po, rrethoni të gjitha pohimet e mëposhtme me të cilat pajtoheni:","If yes, circle all the affirmations you agree with below:"
129,"Uopšteno govoreći, vaši komentari su:","Në përgjithësi, komentet tuaja janë:","In general, your comments are:"
135,Kakav je bio uticaj civilnog društva na Kosovu u sledećim oblastima tokom 2015. godine?,Cili ka qenë ndikimi i shoqërisë civile në Kosovë në fushat e mëposhtme gjatë vitit 2015?,What was the impact of civil society in Kosovo concerning the fields below in 2015?
136,U kojoj oblasti mislite da je vaša organizacija imala najviše uticaja u toku 2015 godine?,Në cilën fushë mendoni se ka pasur organizata juaj më së tepërmi ndikim gjatë vitit 2015?,In which field you do believe your organizationhad its highest impact in 2015?
136.1,,,What is your estimation regarding the impact of your organization on this field? 
138,"Po vašem mišljenju, opšta društvena, politička i ekonomska sredina na Kosovu :","Sipas mendimit tuaj, ambienti i përgjithshëm shoqëror, politik dhe ekonomik në Kosovë:","What is your estimation regarding the general social, politic and economic environment in Kosovo:"
140,"Po vašem mišljenju, kakva je slika civilnog društva u javnosti i šire na Kosovu?","Sipas mendimit tuaj, çfarë është imazhi i shoqërisë civile në publikun e gjerë në Kosovë?",What is your opinion on the civil society image in the general public of Kosovo?
